FISNumber,TrackingNumber_IC,TrackingNumber_week1,Ethica_1,App_install_week1
F514354385701,2754447,2800143,61070,13/10/2022
F514358122336,2755919,2799754,61100,14/10/2022
F514357083722,2755607,2799639,61104,14/10/2022
F514357643213,2755762,2799704,61149,16/10/2022
F514357320882,2752179,2799634,61150,16/10/2022
F514355393674,2751959,2799817,61153,17/10/2022
F514358321775,2742465,2799735,61157,17/10/2022
F514351913135,2752828,2800229,61179,17/10/2022
F514369607279,2752988,2754779,61180,17/10/2022
F514357376579,2756024,2799628,61186,17/10/2022
F514358161013,2755899,2799752,61190,17/10/2022
F514358161962,2755898,2799751,61194,17/10/2022
F514361009638,2753094,2800486,61196,17/10/2022
F514355171766,2752566,2754744,61212,17/10/2022
F514358249378,2752306,2754725,61222,17/10/2022
F514357173243,2756056,2799654,61225,17/10/2022
F514354141307,2752763,2754763,61226,17/10/2022
F514362089969,2753054,2754784,61227,17/10/2022
F514358960517,2755944,2799777,61241,18/10/2022
F514354426396,2752767,2800184,61252,18/10/2022
F514357947183,2756125,2799681,61261,18/10/2022
F514359630168,2754356,2800117,61281,19/10/2022
F514362700001,2753062,2800479,61284,19/10/2022
F514354137411,2758113,2800174,61292,19/10/2022
F514354137582,2758114,2800175,61293,19/10/2022
F514356908706,2757677,2799950,61296,19/10/2022
F514356591883,2757698,2799976,61297,19/10/2022
F514359073033,2757795,2800031,61298,19/10/2022
F514359002563,2757787,2800029,61302,19/10/2022
F514358448046,2756368,2799770,61307,19/10/2022
F514354720003,2758166,2800201,61309,19/10/2022
F514354236037,2754383,2800135,61315,19/10/2022
F514358265683,2752298,2799722,61320,19/10/2022
F514354211867,2758011,2800132,61330,20/10/2022
F514359536419,2754303,2800098,61342,20/10/2022
F514354471375,2754556,2800179,61343,20/10/2022
F514354975917,2754605,2800190,61345,20/10/2022
F514355968718,2752585,2799855,61346,20/10/2022
F514356497389,2757648,2799938,61348,20/10/2022
F514357807239,2755786,2799711,61349,20/10/2022
F514359438928,2757823,2800056,61351,20/10/2022
F514354568924,2752795,2754764,61353,20/10/2022
F514357970876,2755684,2799680,61355,20/10/2022
F514356497875,2757649,2799939,61358,20/10/2022
F514357175058,2756054,2799653,61362,20/10/2022
F514355676072,2752648,2754751,61364,20/10/2022
F514357063894,2756046,2799647,61411,21/10/2022
F514366024453,2752954,2754774,61414,21/10/2022
F514357189971,2756060,2799656,61417,21/10/2022
F514357970381,2755683,2799679,61418,21/10/2022
F514354810643,2755372,2800217,61424,21/10/2022
F514354738416,2758167,2800202,61430,21/10/2022
F514359559497,2757916,2800102,61434,21/10/2022
F514359358543,2760424,2800026,61436,21/10/2022
F514356927474,2760193,2799958,61437,21/10/2022
F514359785146,2760593,2800082,61438,21/10/2022
F514359957911,2760556,2800077,61443,21/10/2022
F514359372678,2760393,2800018,61444,21/10/2022
F514359559504,2757917,2800103,61445,21/10/2022
F514359259156,2760367,2800015,61447,21/10/2022
F514359750218,2760648,2800086,61450,21/10/2022
F514356684474,2760275,2799990,61459,21/10/2022
F514358255006,2755818,2799725,61462,21/10/2022
F514354975269,2754604,2800189,61466,21/10/2022
F514356591356,2757697,2799975,61474,21/10/2022
F514354153928,2754516,2800177,61477,21/10/2022
F514366024631,2752953,2754773,61478,21/10/2022
F514358361432,2756272,2799733,61480,21/10/2022
F514357159709,2752203,2799665,61483,21/10/2022
F514359555479,2757920,2800104,61486,22/10/2022
F514355600685,2752642,2754750,61502,22/10/2022
F514357075314,2755590,2799637,61503,22/10/2022
F514359788881,2760590,2800080,61508,22/10/2022
F514354306483,2754431,2800141,61510,22/10/2022
F514360398697,2753076,2800483,61513,22/10/2022
F514359212589,2760341,2800010,61517,22/10/2022
F514357760801,2755703,2799688,61519,22/10/2022
F514359446217,2760545,2800054,61522,22/10/2022
F514359438288,2757822,2800055,61528,22/10/2022
F514357063367,2756045,2799646,61529,22/10/2022
F514354211615,2758012,2800133,61541,23/10/2022
F514359387428,2760398,2800019,61543,23/10/2022
F514337993457,2751802,2754790,61547,23/10/2022
F514359561245,2757911,2800093,61550,24/10/2022
F514359592122,2754953,2800089,61551,24/10/2022
F514356856137,2761005,2800007,61556,24/10/2022
F514356163521,2760744,2799933,61562,24/10/2022
F514356393635,2752057,2799905,61563,24/10/2022
F514356598388,2760903,2799974,61564,24/10/2022
F514359968417,2761213,2800066,61569,24/10/2022
F514356070744,2760716,2799917,61570,24/10/2022
F514359780723,2760592,2800081,61572,24/10/2022
F514359554969,2757927,2800105,61573,24/10/2022
F514359983912,2761192,2800063,61574,24/10/2022
F514359755079,2761256,2800087,61575,24/10/2022
F514356193913,2760111,2799922,61576,24/10/2022
F514354092798,2754480,2800150,61582,24/10/2022
F514354094109,2754481,2800151,61583,24/10/2022
F514359175191,2760444,2800038,61584,24/10/2022
F514359699027,2761290,2800107,61587,24/10/2022
F514356530727,2760931,2799985,61591,25/10/2022
F514358182041,2755888,2799750,61594,25/10/2022
F514357109489,2755626,2799651,61597,25/10/2022
F514354998379,2755229,2800186,61600,25/10/2022
F514358071322,2755855,2799737,61602,25/10/2022
F514358707635,2752438,2799780,61606,25/10/2022
F514354194703,2755163,2800166,61608,25/10/2022
F514357082378,2755610,2799641,61609,25/10/2022
F514357466853,2755670,2799674,61617,25/10/2022
F514356598014,2760902,2799973,61625,25/10/2022
F514357498727,2755629,2799666,61632,25/10/2022
F514359592593,2754956,2800091,61650,26/10/2022
F514366635023,2752975,2754778,61658,26/10/2022
F514354271272,2755017,2800127,61666,26/10/2022
F514358411311,2755927,2799765,61671,26/10/2022
F514354233307,2754392,2800138,61675,26/10/2022
F514359561967,2757912,2800094,61688,27/10/2022
F514364432796,2753028,2800442,61691,27/10/2022
F514357015496,2755616,2799644,61697,27/10/2022
F514359930849,2766170,2800074,61700,27/10/2022
F514356370322,2765841,2799907,61702,27/10/2022
F514355763406,2765739,2799864,61705,27/10/2022
F514354328345,2758055,2800146,61722,27/10/2022
F514359529672,2761286,2800097,62202,28/10/2022
F514356194294,2760119,2799926,62203,28/10/2022
F514356514357,2766012,2799979,62206,28/10/2022
F514354196007,2758092,2800164,62208,28/10/2022
F514356681022,2760273,2799989,62209,28/10/2022
F514355220381,2752513,2799816,62210,28/10/2022
F514357807725,2755788,2799712,62211,28/10/2022
F514356791604,2765987,2799965,62214,28/10/2022
F514359142783,2766131,2800043,62219,28/10/2022
F514359975512,2757847,2800060,62220,28/10/2022
F514356186218,2765909,2799928,62221,28/10/2022
F514358374482,2755837,2799728,62226,29/10/2022
F514355537181,2765765,2799874,62235,29/10/2022
F514359529801,2761285,2800096,62250,03/11/2022
F514356277246,2765802,2799897,62254,29/10/2022
F514357588872,2756159,2799694,62259,30/10/2022
F514359558727,2757915,2800100,62262,30/10/2022
F514359559148,2760098,2800101,62263,30/10/2022
F514356186161,2765908,2799927,62265,30/10/2022
F514358374611,2755836,2799727,62273,31/10/2022
F514357376408,2756023,2799627,62274,31/10/2022
F514354141842,2752764,2800171,62275,31/10/2022
F514364611262,2753040,2800461,62279,31/10/2022
F514339955609,2751869,2800494,62282,31/10/2022
F514355434951,2766593,2799849,62283,31/10/2022
F514351910308,2752827,2800228,62284,31/10/2022
F514351910098,2752826,2800227,62288,31/10/2022
F514357147891,2766206,2799663,62312,31/10/2022
F514359938358,2766161,2800071,62316,31/10/2022
F514356203098,2766695,2799892,62324,31/10/2022
F514357607452,2766264,2799701,62329,31/10/2022
F514355760085,2765734,2799862,62332,31/10/2022
F514356203308,2766696,2799893,62333,31/10/2022
F514358386795,2756261,2799730,62335,31/10/2022
F514358205759,2752292,2799717,62336,31/10/2022
F514359968669,2761212,2800065,62341,01/11/2022
F514358275062,2766282,2799718,62342,01/11/2022
F514358538378,2766440,2799795,62343,01/11/2022
F514355760911,2765733,2799861,62344,01/11/2022
F514356870871,2760328,2800000,62345,01/11/2022
F514354534303,2754673,2800206,62346,01/11/2022
F514357317107,2766194,2799631,62349,01/11/2022
F514355517466,2766638,2799869,62352,01/11/2022
F514356458921,2765962,2799947,62359,01/11/2022
F514358833233,2766505,2799813,62364,01/11/2022
F514358581397,2766407,2799787,62371,01/11/2022
F514355089592,2766540,2799828,62374,01/11/2022
F514355087145,2766542,2799829,62377,01/11/2022
F514356118404,2765919,2799930,62380,01/11/2022
F514355556646,2766665,2799877,62386,01/11/2022
F514354469026,2754572,2800183,62463,02/11/2022
F514355435972,2766588,2799847,62467,02/11/2022
F514357790715,2766235,2799684,62478,02/11/2022
F514357534966,2756182,2799699,62481,02/11/2022
F514358275313,2766283,2799719,62482,02/11/2022
F514366635348,2752976,2800400,62484,02/11/2022
F514357831596,2756231,2799715,62507,02/11/2022
F514359896757,2757985,2800119,62509,02/11/2022
F514358594154,2766829,2799784,62511,02/11/2022
F514356314238,2767337,2799911,62518,02/11/2022
F514355096769,2767031,2799825,62532,03/11/2022
F514354828497,2758191,2800219,62534,03/11/2022
F514359205509,2757766,2800008,62548,03/11/2022
F514356813896,2757730,2800005,62549,03/11/2022
F514359901826,2757839,2800059,62558,03/11/2022
F514355621097,2767259,2799882,62562,03/11/2022
F514358594292,2766830,2799785,62564,03/11/2022
F514358666706,2766836,2799799,62565,03/11/2022
F514357571075,2756155,2799692,62567,03/11/2022
F514355460385,2767127,2799845,62579,03/11/2022
F514355087267,2766543,2799830,62586,03/11/2022
F514354213495,2758009,2800131,62593,03/11/2022
F514358230706,2755803,2799723,62626,04/11/2022
F514358636899,2766867,2799801,62627,04/11/2022
F514355324475,2767004,2799823,62629,04/11/2022
F514356846206,2760991,2800006,62634,04/11/2022
F514355549323,2766659,2799872,62635,04/11/2022
F514354142499,2758097,2800172,62708,05/11/2022
F514362802873,2753074,2800482,62711,05/11/2022
F514355097116,2767032,2799826,62731,05/11/2022
F514357416308,2755659,2799670,62736,06/11/2022
F514355324604,2767003,2799822,62738,06/11/2022
F514357632595,2755767,2799708,62739,06/11/2022
F514356195233,2760108,2799921,62748,06/11/2022
F514356195177,2760107,2799920,62749,06/11/2022
F514354328029,2758054,2800145,62753,06/11/2022
F514354534847,2754674,2800207,62776,07/11/2022
F514358906555,2766344,2799772,62777,07/11/2022
F514359212726,2760342,2800011,62784,07/11/2022
F514356738899,2760223,2799971,62790,07/11/2022
F514359946685,2761227,2800068,62793,07/11/2022
F514356930787,2760199,2799959,62811,07/11/2022
F514347606082,2768333,2800500,62818,07/11/2022
F514355785228,2767166,2799859,62824,07/11/2022
F514356471435,2760156,2799942,62830,07/11/2022
F514356403687,2760782,2799941,62838,08/11/2022
F514359781169,2760599,2800084,62840,08/11/2022
F514356420923,2760807,2799946,62844,08/11/2022
F514355495248,2767080,2799841,62845,08/11/2022
F514353792636,2767366,2800263,62846,08/11/2022
F514359227485,2761049,2800014,62850,08/11/2022
F514359783745,2760598,2800083,62863,08/11/2022
F514359492566,2760517,2800049,62869,08/11/2022
F514359983086,2761193,2800064,62871,08/11/2022
F514359358421,2760423,2800025,62877,08/11/2022
F514355495126,2767079,2799840,62879,08/11/2022
F514359319339,2760406,2800022,62890,09/11/2022
F514359874562,2760680,2800120,62893,09/11/2022
F514356192025,2760115,2799925,62894,09/11/2022
F514359319071,2760405,2800021,62900,09/11/2022
F514335660534,2768255,2800492,62905,09/11/2022
F514356878891,2760989,2799999,62918,09/11/2022
F514359013952,2766107,2800033,62925,09/11/2022
F514359479696,2761143,2800050,62926,09/11/2022
F514355512573,2767792,2799870,62940,10/11/2022
F514355763699,2765738,2799863,62945,10/11/2022
F514359908493,2766145,2800058,62948,10/11/2022
F514358922974,2755960,2799778,62952,10/11/2022
F514359143203,2766129,2800042,62962,10/11/2022
F514357082864,2755611,2799642,62966,10/11/2022
F514355844147,2767310,2799889,62980,10/11/2022
F514354368635,2755042,2800144,62984,10/11/2022
F514357389296,2756034,2799630,62990,10/11/2022
F514357496523,2755634,2799667,62998,11/11/2022
F514358511306,2765602,2799794,62999,11/11/2022
F514356878364,2760988,2799998,63002,11/11/2022
F514358573929,2766398,2799786,63003,11/11/2022
F514358650246,2766892,2799804,63004,11/11/2022
F514358511096,2765601,2799793,63007,11/11/2022
F514356748083,2760887,2799969,63008,11/11/2022
F514357396123,2768791,2799625,63011,11/11/2022
F514356738606,2760224,2799972,63018,11/11/2022
F514355537221,2765766,2799875,63028,12/11/2022
F514359850204,2757993,2800125,63029,12/11/2022
F514356545437,2769157,2799981,63031,12/11/2022
F514359069827,2766114,2800034,63033,12/11/2022
F514357416843,2755660,2799671,63039,13/11/2022
F514356645934,2766036,2799993,63047,13/11/2022
F514356264748,2766704,2799902,63053,13/11/2022
F514356915956,2760864,2799955,63057,13/11/2022
F514364813771,2753045,2800466,63065,14/11/2022
F514356370088,2765840,2799906,63069,14/11/2022
F514356528687,2760922,2799983,63071,14/11/2022
F514359939435,2766166,2800073,63083,14/11/2022
F514357038605,2742343,2799648,63268,15/11/2022
F514355002523,2767041,2799827,63271,15/11/2022
F514357583606,2768904,2799695,63312,15/11/2022
F514359227525,2761050,2800504,63385,16/11/2022
F514358826421,2766483,2799811,63398,16/11/2022
F514356192982,2760114,2799924,63402,16/11/2022
F514354041872,2755126,2800158,63410,16/11/2022
F514358873945,2766914,2799809,63422,16/11/2022
F514357550711,2766252,2799700,63426,16/11/2022
F514359116806,2770143,2800039,63430,16/11/2022
F514355314399,2766983,2799821,63445,16/11/2022
F514358047193,2769272,2799744,63453,16/11/2022
F514358018787,2756310,2799738,63454,16/11/2022
F514358720213,2766799,2799781,63455,16/11/2022
F514358876983,2766910,2799807,63460,16/11/2022
F514358416991,2766767,2799762,63463,16/11/2022
F514354014445,2755102,2800156,63467,16/11/2022
F514355434092,2766594,2800501,63489,17/11/2022
F514362654198,2770218,2800481,63494,17/11/2022
F514358876407,2770113,2799808,63496,17/11/2022
F514355562972,2766655,2799871,63497,17/11/2022
F514354484716,2758137,2800181,63518,17/11/2022
F514358663733,2769686,2799800,63530,17/11/2022
F514358306855,2769582,2799726,63585,18/11/2022
F514355918732,2766608,2799854,63593,19/11/2022
F514359938885,2766162,2800072,63604,19/11/2022
F514358013812,2768969,2799742,63619,19/11/2022
F514356311938,2767333,2799909,63662,20/11/2022
F514359368563,2769739,2800024,63670,20/11/2022
F514356299213,2766689,2799891,63671,20/11/2022
F514356400746,2760777,2799940,63721,21/11/2022
F514354905705,2754593,2800187,63726,21/11/2022
F514356324809,2765856,2799912,63746,22/11/2022
F514358416001,2766768,2799763,63783,22/11/2022
F514359499638,2760506,2800047,63784,22/11/2022
F514357532787,2768918,2799698,63801,23/11/2022
F514357846954,2756229,2799714,63834,23/11/2022
F514352298389,2792341,2800222,63835,23/11/2022
F514355750965,2767784,2799867,63846,23/11/2022
F514356683997,2760272,2799988,63856,23/11/2022
F514355545362,2768372,2799873,63872,24/11/2022
F514357647418,2755756,2799703,63879,24/11/2022
F514358134316,2756335,2799757,63908,24/11/2022
F514357801909,2768937,2799713,63995,24/11/2022
F514359645729,2760660,2800114,63997,24/11/2022
F514354215666,2767872,2800130,64002,24/11/2022
F514355149945,2767063,2799837,64035,24/11/2022
F514356120291,2760150,2799937,64051,25/11/2022
F514356956642,2760202,2799961,64053,25/11/2022
F514359144127,2766132,2800044,64057,25/11/2022
F514357529636,2768913,2799697,64068,25/11/2022
F514357647661,2755755,2799702,64084,25/11/2022
F514359959459,2760552,2800075,64121,26/11/2022
F514357242806,2792861,2799620,64143,26/11/2022
F514356761886,2760880,2799967,64145,26/11/2022
F514357853669,2756240,2799716,64168,27/11/2022
F514356180289,2765912,2799929,64169,27/11/2022
F514356813369,2757729,2800004,64206,28/11/2022
F514354186466,2767984,2800170,64209,28/11/2022
F514356904056,2760822,2799952,64226,28/11/2022
F514355191092,2766573,2799836,64240,28/11/2022
F514359751441,2761262,2800088,64247,28/11/2022
F514353811873,2795198,2800279,64259,28/11/2022
F514353114892,2794762,2800250,64261,28/11/2022
F514353121096,2794786,2800254,64263,28/11/2022
F514353397389,2794550,2800237,64270,28/11/2022
F514353147543,2794772,2800252,64283,28/11/2022
F514351752204,2768205,2800231,64288,28/11/2022
F514355656592,2767825,2799883,64292,28/11/2022
F514353820694,2795201,2800280,64297,28/11/2022
F514353134818,2794795,2800255,64305,28/11/2022
F514359165852,2760467,2800041,64327,29/11/2022
F514357140884,2768842,2799664,64328,29/11/2022
F514353299208,2794454,2800236,64330,29/11/2022
F514353355584,2794635,2800243,64332,29/11/2022
F514364961264,2795905,2800447,64351,29/11/2022
F514364773158,2795932,2800451,64354,29/11/2022
F514354668035,2795539,2800211,64359,29/11/2022
F514364781558,2795936,2800453,64361,29/11/2022
F514353958387,2795651,2800262,64371,29/11/2022
F514364646911,2795980,2800463,64373,29/11/2022
F514364004775,2795798,2800434,64378,29/11/2022
F514364536687,2795960,2800457,64379,29/11/2022
F514364689989,2795974,2800460,64380,29/11/2022
F514353019888,2794684,2800245,64381,29/11/2022
F514364898677,2795995,2800465,64382,29/11/2022
F514330265634,2793257,2800496,64386,29/11/2022
F514364043388,2795806,2800435,64396,30/11/2022
F514364211738,2795742,2800430,64397,30/11/2022
F514353808714,2795184,2800277,64398,30/11/2022
F514359592244,2754954,2800090,64411,30/11/2022
F514359202422,2766061,2800009,64419,30/11/2022
F514362213549,2796029,2800469,64438,30/11/2022
F514353355413,2794634,2800242,64441,30/11/2022
F514364799046,2795915,2800449,64442,30/11/2022
F514362217915,2796026,2800468,64445,30/11/2022
F514364357263,2795786,2800433,64451,01/12/2022
F514356790527,2765979,2799963,64455,01/12/2022
F514358919004,2766374,2799775,64463,01/12/2022
F514366308886,2796760,2800386,64468,01/12/2022
F514365837174,2796709,2800377,64469,01/12/2022
F514359692588,2769902,2800108,64470,01/12/2022
F514366832064,2797080,2800402,64472,01/12/2022
F514367207864,2796119,2800284,64478,01/12/2022
F514359351503,2770132,2800027,64481,01/12/2022
F514353026075,2794704,2800247,64483,01/12/2022
F514353838911,2795706,2800282,64485,01/12/2022
F514356311054,2767334,2799910,64492,02/12/2022
F514365746138,2796609,2800369,64502,02/12/2022
F514353822946,2795704,2800281,64532,02/12/2022
F514367181693,2796259,2800295,64536,02/12/2022
F514367181409,2796260,2800296,64538,02/12/2022
F514359111613,2769787,2800040,64541,02/12/2022
F514366633906,2797042,2800401,64552,02/12/2022
F514369452625,2798704,2800418,64553,02/12/2022
F514353782284,2794927,2800265,64554,02/12/2022
F514368316413,2797921,2800314,64558,02/12/2022
F514368247929,2797836,2800313,64559,02/12/2022
F514368634169,2798515,2800344,64560,02/12/2022
F514368367817,2797938,2800316,64561,02/12/2022
F514368570908,2798434,2800338,64563,02/12/2022
F514368052515,2798155,2800324,64565,02/12/2022
F514365925034,2796575,2800366,64567,02/12/2022
F514365081881,2796414,2800358,64570,02/12/2022
F514368133361,2798246,2800328,64571,02/12/2022
F514369955903,2798719,2800419,64574,02/12/2022
F514368117161,2798219,2800326,64576,02/12/2022
F514366226232,2796747,2800383,64581,02/12/2022
F514365310681,2796384,2800352,64583,02/12/2022
F514368940495,2798316,2800331,64584,02/12/2022
F514367065539,2796202,2800292,64585,02/12/2022
F514367602893,2797588,2800308,64594,03/12/2022
F514366697427,2797010,2800398,64600,03/12/2022
F514368000431,2798016,2800321,64604,03/12/2022
F514368934411,2798341,2800333,64605,03/12/2022
F514369000733,2798636,2800412,64619,03/12/2022
F514369000571,2798635,2800411,64620,03/12/2022
F514353715904,2794941,2800266,64621,03/12/2022
F514362391822,2796041,2800472,64636,03/12/2022
F514353715078,2794942,2800267,64639,03/12/2022
F514366728547,2796950,2800395,64645,04/12/2022
F514369346142,2798616,2800406,64648,04/12/2022
F514369365997,2798610,2800405,64651,04/12/2022
F514365649984,2796674,2800374,64659,07/12/2022
F514358516604,2766417,2799791,64660,04/12/2022
F514368828853,2798564,2800348,64662,04/12/2022
